ID,Protocol,Vision
s1252,VOD,1
s1253,YouTube,1
s1254,YouTube,1
s1255,YouTube,1
s1256,YouTube,1
s1257,VOD,1
s1258,VOD,1
s1259,YouTube,1
s1260,VOD,1
s1261,YouTube,1
s1262,VOD,1
s1263,YouTube,1
s1264,YouTube,1
s1265,YouTube,1
s1267,YouTube,1
s1268,YouTube,1
s1269,YouTube,1
s1270,VOD,1
s1271,YouTube,1
s1272,YouTube,1
s1273,VOD,1
s1274,YouTube,1
s1332,VOD,1
s1333,YouTube,1
s1275,YouTube,1
s1276,YouTube,1
s1277,YouTube,1
s1279,YouTube,1
s1281,VOD,1
s1282,VOD,1
s1283,VOD,1
s1284,YouTube,1
s1285,YouTube,1
s1286,VOD,1
s1287,YouTube,1
s1289,VOD,1
s1290,YouTube,1
s1291,VOD,1
s1292,VOD,1
s1293,VOD,1
s1294,YouTube,1
s1297,YouTube,1
s1298,YouTube,1
s1299,YouTube,1
s1300,YouTube,1
s1301,VOD,1
s1302,VOD,1
s1303,YouTube,1
s1306,YouTube,1
s1308,VOD,1
s1309,YouTube,1
s1310,VOD,1
s1312,VOD,1
s1338,YouTube,1
s1313,YouTube,1
s1314,YouTube,1
s1316,YouTube,1
s1317,YouTube,1
s1320,YouTube,1
s1321,YouTube,1
s1322,VOD,1
s1323,YouTube,1
s1324,YouTube,1
s1336,VOD,1
s1,Linear_180,2
s2,Linear_180,2
s3,Linear_120,2
s4,Linear_180,2
s5,Linear_120,2
s6,Linear_180,2
s7,Linear_60,2
s8,Linear_180,2
s9,Linear_60,2
s10,Linear_120,2
s11,Linear_180,2
s12,Linear_60,2
s13,Linear_120,2
s14,Linear_180,2
s15,Linear_180,2
s16,Linear_180,2
s17,Linear_60,2
s18,Linear_120,2
s19,Linear_120,2
s20,Linear_180,2
s21,Linear_120,2
s22,Linear_180,2
s23,Linear_180,2
s24,Linear_180,2
s25,Linear_60,2
s26,Linear_60,2
s27,Linear_60,2
s28,Linear_120,2
s29,Linear_120,2
s30,Linear_180,2
s31,Linear_120,2
s32,Linear_60,2
s33,Linear_120,2
s34,Linear_120,2
s35,Linear_120,2
s36,Linear_180,2
s37,Linear_60,2
s38,Linear_180,2
s39,Linear_120,2
s40,Linear_60,2
s41,Linear_120,2
s42,Linear_180,2
s43,Linear_120,2
s44,Linear_180,2
s45,Linear_180,2
s46,Linear_120,2
s47,Linear_180,2
s48,Linear_180,2
s49,Linear_120,2
s50,Linear_120,2
s51,Linear_180,2
s52,Linear_180,2
s53,Linear_120,2
s54,Linear_120,2
s55,Linear_120,2
s56,Linear_180,2
s57,Linear_180,2
s58,Linear_60,2
s59,Linear_120,2
s60,Linear_60,2
s61,Linear_60,2
s62,Linear_180,2
s63,Linear_180,2
s64,Linear_180,2
s65,Linear_120,2
s66,Linear_120,2
s67,Linear_120,2
s68,Linear_180,2
s69,Linear_60,2
s70,Linear_120,2
s71,Linear_60,2
s72,Linear_180,2
s73,Linear_60,2
s74,Linear_120,2
s75,Linear_180,2
s76,Linear_180,2
s77,Linear_60,2
s78,Linear_180,2
s79,Linear_180,2
s80,Linear_120,2
s82,Linear_120,2
s84,Linear_60,2
s85,Linear_180,2
s87,Linear_120,2
s88,Linear_180,2
s89,Linear_60,2
s90,Linear_180,2
s91,Linear_60,2
s92,Linear_180,2
s94,Linear_120,2
s95,Linear_120,2
s96,Linear_180,2
s97,Linear_180,2
s98,Linear_60,2
s99,Linear_120,2
s100,Linear_120,2
s101,Linear_60,2
s102,Linear_60,2
s103,Linear_120,2
s104,Linear_120,2
s105,Linear_180,2
s106,Linear_120,2
s107,Linear_180,2
s108,Linear_120,2
s109,Linear_120,2
s110,Linear_180,2
s111,Linear_180,2
s112,Linear_120,2
